0,-4580,-1700,4480,1600
0,0,24,49,1176
0,1920,24,49,1576
0,0,0,1920,24
0,1920,0,2560,24
0,-2642,-1706,2542,1606
0,-420,-300,320,200
0,85,83,1491,1009
0,2032,109,1303,1015
0,1992,73,1572,1163
0,1643,60,271,426
0,1640,300,346,446
0,1316,763,596,431
0,6762,690,1125,641
0,3591,59,882,1102
0,2164,260,1474,1006
0,3460,913,948,656
0,63,64,1562,1122
0,75,68,1528,1115
0,60,70,1572,1119
0,1996,1276,745,297
0,101,413,1455,701
0,2072,382,1474,1006
0,102,70,1482,1081
0,305,122,1109,884
0,2408,198,1463,984
0,3006,1091,872,445
